sample_id	population_description
HG01437	"Colombian in Medellin, Colombia"
HG01438	"Colombian in Medellin, Colombia"
HG01439	"Colombian in Medellin, Colombia"
HG01440	"Colombian in Medellin, Colombia"
HG01441	"Colombian in Medellin, Colombia"
HG01442	"Colombian in Medellin, Colombia"
HG01443	"Colombian in Medellin, Colombia"
HG01444	"Colombian in Medellin, Colombia"
HG01445	"Colombian in Medellin, Colombia"
HG01447	"Colombian in Medellin, Colombia"
HG01452	"Colombian in Medellin, Colombia"
HG01453	"Colombian in Medellin, Colombia"
HG01454	"Colombian in Medellin, Colombia"
HG01455	"Colombian in Medellin, Colombia"
HG01456	"Colombian in Medellin, Colombia"
HG01457	"Colombian in Medellin, Colombia"
HG01459	"Colombian in Medellin, Colombia"
HG01461	"Colombian in Medellin, Colombia"
HG01462	"Colombian in Medellin, Colombia"
HG01463	"Colombian in Medellin, Colombia"
HG01464	"Colombian in Medellin, Colombia"
HG01465	"Colombian in Medellin, Colombia"
HG01466	"Colombian in Medellin, Colombia"
HG01468	"Colombian in Medellin, Colombia"
HG01471	"Colombian in Medellin, Colombia"
HG01473	"Colombian in Medellin, Colombia"
HG01474	"Colombian in Medellin, Colombia"
HG01477	"Colombian in Medellin, Colombia"
HG01479	"Colombian in Medellin, Colombia"
HG01480	"Colombian in Medellin, Colombia"
HG01481	"Colombian in Medellin, Colombia"
HG01482	"Colombian in Medellin, Colombia"
HG01483	"Colombian in Medellin, Colombia"
HG01484	"Colombian in Medellin, Colombia"
HG01485	"Colombian in Medellin, Colombia"
HG01486	"Colombian in Medellin, Colombia"
HG01487	"Colombian in Medellin, Colombia"
HG01488	"Colombian in Medellin, Colombia"
HG01489	"Colombian in Medellin, Colombia"
HG01490	"Colombian in Medellin, Colombia"
HG01491	"Colombian in Medellin, Colombia"
HG01492	"Colombian in Medellin, Colombia"
HG01493	"Colombian in Medellin, Colombia"
HG01494	"Colombian in Medellin, Colombia"
HG01495	"Colombian in Medellin, Colombia"
HG01496	"Colombian in Medellin, Colombia"
HG01497	"Colombian in Medellin, Colombia"
HG01498	"Colombian in Medellin, Colombia"
HG01499	"Colombian in Medellin, Colombia"
HG01500	Iberian populations in Spain
HG01501	Iberian populations in Spain
HG01502	Iberian populations in Spain
HG01503	Iberian populations in Spain
HG01504	Iberian populations in Spain
HG01505	Iberian populations in Spain
HG01506	Iberian populations in Spain
HG01507	Iberian populations in Spain
HG01508	Iberian populations in Spain
HG01509	Iberian populations in Spain
HG01510	Iberian populations in Spain
HG01511	Iberian populations in Spain
HG01512	Iberian populations in Spain
HG01513	Iberian populations in Spain
HG01514	Iberian populations in Spain
HG01515	Iberian populations in Spain
HG01516	Iberian populations in Spain
HG01517	Iberian populations in Spain
HG01518	Iberian populations in Spain
HG01519	Iberian populations in Spain
HG01520	Iberian populations in Spain
HG01521	Iberian populations in Spain
HG01522	Iberian populations in Spain
HG01523	Iberian populations in Spain
HG01524	Iberian populations in Spain
HG01525	Iberian populations in Spain
HG01526	Iberian populations in Spain
HG01527	Iberian populations in Spain
HG01528	Iberian populations in Spain
HG01529	Iberian populations in Spain
HG01530	Iberian populations in Spain
HG01531	Iberian populations in Spain
HG01532	Iberian populations in Spain
HG01536	Iberian populations in Spain
HG01537	Iberian populations in Spain
HG01538	Iberian populations in Spain
HG01550	"Colombian in Medellin, Colombia"
HG01551	"Colombian in Medellin, Colombia"
HG01552	"Colombian in Medellin, Colombia"
HG01556	"Colombian in Medellin, Colombia"
HG01565	"Peruvian in Lima, Peru"
HG01566	"Peruvian in Lima, Peru"
HG01567	"Peruvian in Lima, Peru"
HG01571	"Peruvian in Lima, Peru"
HG01572	"Peruvian in Lima, Peru"
HG01573	"Peruvian in Lima, Peru"
HG01577	"Peruvian in Lima, Peru"
HG01578	"Peruvian in Lima, Peru"
HG01579	"Peruvian in Lima, Peru"
HG01583	"Punjabi in Lahore,Pakistan"
HG01586	"Punjabi in Lahore,Pakistan"
HG01589	"Punjabi in Lahore,Pakistan"
HG01590	"Punjabi in Lahore,Pakistan"
HG01593	"Punjabi in Lahore,Pakistan"
HG01594	"Punjabi in Lahore,Pakistan"
